,2-1-G10_3-1-A2,2-1-G10_3-1-B1,2-2-B1_3-2-A6,2-1-H7_3-6-C6
2-1-G10_3-1-A2,69,46,23,0
2-1-G10_3-1-B1,46,69,23,0
2-2-B1_3-2-A6,23,23,69,0
2-1-H7_3-6-C6,0,0,0,69
