,2-1-G10_3-1-A2,2-1-G10_3-1-B1,2-2-B1_3-2-A6,2-1-A6_3-5-B2,2-1-A6_3-5-B3,2-1-H7_3-6-C6,2-1-H7_3-6-G7,1-1-F3_2-2-B1
2-1-G10_3-1-A2,138,115,92,69,69,69,69,0
2-1-G10_3-1-B1,115,138,92,69,69,69,69,0
2-2-B1_3-2-A6,92,92,138,69,69,69,69,0
2-1-A6_3-5-B2,69,69,69,138,115,92,92,0
2-1-A6_3-5-B3,69,69,69,115,138,92,92,0
2-1-H7_3-6-C6,69,69,69,92,92,138,115,0
2-1-H7_3-6-G7,69,69,69,92,92,115,138,0
1-1-F3_2-2-B1,0,0,0,0,0,0,0,0
